Distance (mm),dERR,F1&3,rERR1&3
50,0.5,55.4,0.7
55,0.5,56.1,0.7
60,0.5,56,2
65,0.5,57.1,0.6
70,0.5,57.1,0.7
75,0.5,58,0.7
80,0.5,58.4,0.7
85,0.5,58.7,0.8
90,0.5,59.1,0.7
95,0.5,59.4,0.7
100,0.5,59.6,0.8
105,0.5,59.9,0.8
110,0.5,60.1,0.8
115,0.5,60.2,0.8
120,0.5,60.4,0.8
125,0.5,60.6,0.7
130,0.5,60.8,0.8
135,0.5,60.8,0.8
140,0.5,61,0.8
145,0.5,61,0.8
150,0.5,61.1,0.8
155,0.5,61.2,0.8
160,0.5,61.2,0.8
165,0.5,61.4,0.8
170,0.5,61.4,0.8
175,0.5,61.5,0.7
180,0.5,61.5,0.7
185,0.5,61.5,0.7
190,0.5,61.5,0.7
195,0.5,61.5,0.7
200,0.5,61.6,0.7
205,0.5,61.6,0.7
210,0.5,61.6,0.7
215,0.5,61.6,0.7
220,0.5,61.6,0.7
225,0.5,61.6,0.7
230,0.5,61.6,0.7
235,0.5,61.6,0.7
240,0.5,61.6,0.7
245,0.5,61.7,0.6
250,0.5,61.7,0.6
255,0.5,61.7,0.7
260,0.5,61.7,0.7
265,0.5,61.7,0.7
270,0.5,61.7,0.7
275,0.5,61.7,0.7
280,0.5,61.7,0.7
285,0.5,61.7,0.7
290,0.5,61.7,0.7
295,0.5,61.7,0.7
300,0.5,61.8,0.7
305,0.5,61.8,0.7
310,0.5,61.8,0.7
315,0.5,61.8,0.7
320,0.5,61.8,0.7
325,0.5,61.8,0.7
330,0.5,61.8,0.7
335,0.5,61.8,0.6
340,0.5,61.8,0.6
345,0.5,61.8,0.6
350,0.5,61.8,0.6