Distance (mm),dERR,F3,rERR3
205,0.5,61.3,0.2
210,0.5,61.5,0.1
215,0.5,61.6,0.1
220,0.5,61.8,0.1
225,0.5,61.9,0.1
230,0.5,61.9,0.1
235,0.5,61.9,0.1
240,0.5,61.9,0.1
245,0.5,61.9,0.1
250,0.5,61.9,0.1
255,0.5,61.9,0.1
260,0.5,61.9,0.1
265,0.5,61.9,0.1
270,0.5,61.9,0.1
275,0.5,61.9,0.1
280,0.5,61.9,0.1
285,0.5,61.9,0.2
290,0.5,61.9,0.2
295,0.5,61.9,0.2
300,0.5,61.9,0.2
305,0.5,61.9,0.2
310,0.5,61.9,0.2
315,0.5,61.9,0.2
320,0.5,61.9,0.2
325,0.5,61.9,0.2
330,0.5,61.9,0.2
335,0.5,61.9,0.2
340,0.5,61.9,0.2
345,0.5,61.8,0.1
350,0.5,61.8,0.1