Distance (mm),dERR,V3,rERR3
205,0.5,22.2,0.7
210,0.5,22.1,0.6
215,0.5,22,0.6
220,0.5,22,0.6
225,0.5,21.8,0.6
230,0.5,21.6,0.6
235,0.5,21.4,0.6
240,0.5,21.2,0.6
245,0.5,20.8,0.6
250,0.5,20.5,0.6
255,0.5,20.2,0.6
260,0.5,19.9,0.5
265,0.5,19.5,0.5
270,0.5,19.2,0.5
275,0.5,18.8,0.5
280,0.5,18.4,0.5
285,0.5,18,0.5
290,0.5,17.5,0.5
295,0.5,17.2,0.4
300,0.5,16.8,0.4
305,0.5,16.4,0.4
310,0.5,16,0.4
315,0.5,15.6,0.3
320,0.5,15.2,0.3
325,0.5,14.9,0.3
330,0.5,14.6,0.3
335,0.5,14.2,0.3
340,0.5,13.8,0.3
345,0.5,13.4,0.2
350,0.5,13.1,0.2